t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.114500202;96082.0172820208;78686.5068066867;113287.854936417;336.41787383648;88.8146569955554;-194.171043243865;0.885952667340299;-1.39930754583406;-0.395429369545622
0.114600196;98702.939255038;79362.5171821736;114291.136797536;337.679352177125;89.1904528651727;-194.394321684459;0.88585313931371;-1.40021179147667;-0.395477154469661
0.114700101;102511.474372697;80261.4167376993;114945.299600689;338.940696285986;89.5667072818874;-194.616261019707;0.885736277928381;-1.40111308997389;-0.395521246678668
0.114800103;105874.653004855;81414.7814444133;114337.936028116;340.204288616425;89.9441299077992;-194.8372700517;0.885602171286397;-1.40201185309492;-0.395561717107573
0.114900097;106631.759316073;82740.0480955174;112489.923907801;341.468832008259;90.3223368526611;-195.057121216559;0.885450572830966;-1.40290876268177;-0.395598535244343
0.115000002;104905.461900206;83882.7956322105;110615.040294017;342.733308457154;90.7010329117776;-195.275653502035;0.885281341176292;-1.40380307199356;-0.395631380542978
0.115100697;104605.357136048;84452.6932932554;109335.391762331;344.008846864384;91.0835692769874;-195.494795182989;0.885093516992751;-1.4046983373898;-0.395659962830657
0.115200602;107231.44263561;85010.8011457007;108476.757109449;345.275433570764;91.4639506782496;-195.711120925631;0.884887724796259;-1.40559151802426;-0.395684086527571
0.115300603;110811.8694217;84006.1934569937;109094.454296442;346.544311569968;91.8455434043251;-195.926566581046;0.884664647243506;-1.40647951273009;-0.395703867690432
0.115400597;114635.111476595;81245.0441772444;110380.951973335;347.814209379444;92.2279450190561;-196.14090463191;0.884423718695324;-1.40736554809216;-0.395719726087086
0.115500502;117873.722468785;78802.2480488344;110285.858105198;349.084120128477;92.6108183451539;-196.353953156735;0.884165609433925;-1.40824837748113;-0.395731950773388
0.115600497;118844.285766878;77614.0297652678;109571.442190768;350.356347310673;92.9948273046359;-196.56609290389;0.883890648243882;-1.40912792703175;-0.395740702969197
0.115700498;117730.92475881;76891.7526898196;108571.500865919;351.629834051521;93.3796366030417;-196.777150390537;0.883598944998514;-1.41000410503369;-0.39574596858773
0.115800403;115508.859453902;76637.2699694735;106972.163334868;352.903271131489;93.7648454832193;-196.986922583491;0.883290672102729;-1.41087575025568;-0.395747584557877
0.115900397;114363.341283976;76931.6948232883;105553.55789708;354.178999770279;94.1511648365644;-197.195812085738;0.882965312457389;-1.41174302004556;-0.395745271440912
0.116000399;114807.419747494;77402.3898173628;104490.386845456;355.455978080818;94.5382848550121;-197.403661876231;0.882622241168959;-1.4126062037983;-0.395738776716
0.116100296;116363.304304948;76924.7221567793;105425.45234091;356.732764676076;94.9257688744845;-197.610245140231;0.882261463863261;-1.41346440184921;-0.395728035428031
0.116200298;118575.149529479;75912.9614693603;108388.505214982;358.012057992247;95.3144277092623;-197.815986724483;0.881882722668316;-1.41431822693594;-0.395713179800567
0.1163003;121587.273863851;73669.2297076509;110952.465157092;359.292539108123;95.7038426239695;-198.020645378099;0.881486099187884;-1.41516854693953;-0.395694605218819
0.116400197;123209.991430866;71819.4314919286;112442.223439727;360.572886278459;96.0935852117412;-198.223984009017;0.881072668047937;-1.41601482312444;-0.395672962882725
0.116500199;122715.879765841;71786.3295200481;112565.26190791;361.855805413755;96.4844598342212;-198.426415901781;0.880642991613592;-1.41685768347846;-0.39564879261806
0.116600201;121710.671413994;72818.970374692;112283.087230637;363.139950479143;96.8760550131749;-198.627723109974;0.880197348924684;-1.41769769083569;-0.395622286623887
0.116700202;121707.099704132;74269.3661014319;111079.305003807;364.425302344646;97.2683755285459;-198.827907750249;0.87973616817934;-1.41853447713836;-0.395593293493043
0.116800196;122233.073622612;75099.5683630444;110062.532756879;365.711782527671;97.6614096617372;-199.026967211426;0.879259631652859;-1.41936802320377;-0.395561433440727
0.116900198;122761.454685796;75636.6926897967;108826.105176108;366.999587972146;98.0552255026711;-199.224942522352;0.878767775898985;-1.42019849594317;-0.395526302106733
0.1170002;123444.097005683;76236.8562325597;106959.466541664;368.288621465941;98.4497978983912;-199.421831104286;0.878260387366183;-1.42102629249989;-0.395487548606337
0.117100202;123467.754948282;76189.7187992832;105029.518790464;369.578887802558;98.8451310748516;-199.617650207049;0.877737277165885;-1.42185163459004;-0.395444900187275
